"","Date.Time..GMT.07.00","DO_mgL","Temp_C","X.","datetime","Site","date","water_level"
"1","8/1/2023 0:09",3.42,15.72,NA,2023-08-01 00:09:00,"Chelsea",2023-08-01,8.60449166118194
"2","8/1/2023 0:24",3.82,15.72,NA,2023-08-01 00:24:00,"Chelsea",2023-08-01,8.76295387269886
"3","8/1/2023 0:39",3.58,15.7,NA,2023-08-01 00:39:00,"Chelsea",2023-08-01,9.00850094645911
"4","8/1/2023 0:54",3.22,15.7,NA,2023-08-01 00:54:00,"Chelsea",2023-08-01,9.32835069051847
"5","8/1/2023 1:09",3.67,15.66,NA,2023-08-01 01:09:00,"Chelsea",2023-08-01,9.70972091293274
"6","8/1/2023 1:24",3.24,15.6,NA,2023-08-01 01:24:00,"Chelsea",2023-08-01,10.1398294217577
"7","8/1/2023 1:39",3.42,15.58,NA,2023-08-01 01:39:00,"Chelsea",2023-08-01,10.6058940250492
"8","8/1/2023 1:54",3.13,15.6,NA,2023-08-01 01:54:00,"Chelsea",2023-08-01,11.0951325308629
"9","8/1/2023 2:09",2.85,15.56,NA,2023-08-01 02:09:00,"Chelsea",2023-08-01,11.5947627472547
"10","8/1/2023 2:24",2.89,15.56,NA,2023-08-01 02:24:00,"Chelsea",2023-08-01,12.0920024822804
"11","8/1/2023 2:39",2.78,15.56,NA,2023-08-01 02:39:00,"Chelsea",2023-08-01,12.5740695439957
"12","8/1/2023 2:54",2.84,15.58,NA,2023-08-01 02:54:00,"Chelsea",2023-08-01,13.0281817404565
"13","8/1/2023 3:09",2.87,15.46,NA,2023-08-01 03:09:00,"Chelsea",2023-08-01,13.4415568797185
"14","8/1/2023 3:24",2.77,15.48,NA,2023-08-01 03:24:00,"Chelsea",2023-08-01,13.8014127698376
"15","8/1/2023 3:39",3.1,15.44,NA,2023-08-01 03:39:00,"Chelsea",2023-08-01,14.0949672188695
"16","8/1/2023 3:54",2.74,15.44,NA,2023-08-01 03:54:00,"Chelsea",2023-08-01,14.30943803487
"17","8/1/2023 4:09",3.03,15.44,NA,2023-08-01 04:09:00,"Chelsea",2023-08-01,14.4320430258949
"18","8/1/2023 4:24",2.91,15.42,NA,2023-08-01 04:24:00,"Chelsea",2023-08-01,14.45
"19","8/1/2023 4:39",2.75,15.46,NA,2023-08-01 04:39:00,"Chelsea",2023-08-01,14.3539783802934
"20","8/1/2023 4:54",2.76,15.48,NA,2023-08-01 04:54:00,"Chelsea",2023-08-01,14.148454050092
"21","8/1/2023 5:09",2.65,15.5,NA,2023-08-01 05:09:00,"Chelsea",2023-08-01,13.8413545077653
"22","8/1/2023 5:24",2.86,15.52,NA,2023-08-01 05:24:00,"Chelsea",2023-08-01,13.4406072516824
"23","8/1/2023 5:39",3.16,15.52,NA,2023-08-01 05:39:00,"Chelsea",2023-08-01,12.9541397802127
"24","8/1/2023 5:54",3.68,15.46,NA,2023-08-01 05:54:00,"Chelsea",2023-08-01,12.3898795917255
"25","8/1/2023 6:09",3.89,15.42,NA,2023-08-01 06:09:00,"Chelsea",2023-08-01,11.75575418459
"26","8/1/2023 6:24",4.19,15.42,NA,2023-08-01 06:24:00,"Chelsea",2023-08-01,11.0596910571757
"27","8/1/2023 6:39",4.28,15.42,NA,2023-08-01 06:39:00,"Chelsea",2023-08-01,10.3096177078517
"28","8/1/2023 6:54",4.26,15.42,NA,2023-08-01 06:54:00,"Chelsea",2023-08-01,9.51346163498737
"29","8/1/2023 7:09",4.44,15.44,NA,2023-08-01 07:09:00,"Chelsea",2023-08-01,8.67915033695201
"30","8/1/2023 7:24",4.5,15.46,NA,2023-08-01 07:24:00,"Chelsea",2023-08-01,7.8146113121149
"31","8/1/2023 7:39",4.49,15.48,NA,2023-08-01 07:39:00,"Chelsea",2023-08-01,6.92777205884536
"32","8/1/2023 7:54",4.42,15.48,NA,2023-08-01 07:54:00,"Chelsea",2023-08-01,6.02656007551268
"33","8/1/2023 8:09",4.65,15.5,NA,2023-08-01 08:09:00,"Chelsea",2023-08-01,5.11890286048614
"34","8/1/2023 8:24",4.52,15.52,NA,2023-08-01 08:24:00,"Chelsea",2023-08-01,4.21272791213505
"35","8/1/2023 8:39",4.84,15.62,NA,2023-08-01 08:39:00,"Chelsea",2023-08-01,3.31596272882872
"36","8/1/2023 8:54",4.83,15.78,NA,2023-08-01 08:54:00,"Chelsea",2023-08-01,2.43653480893642
"37","8/1/2023 9:09",4.87,15.94,NA,2023-08-01 09:09:00,"Chelsea",2023-08-01,1.58237165082746
"38","8/1/2023 9:24",4.77,16,NA,2023-08-01 09:24:00,"Chelsea",2023-08-01,0.761400752871142
"39","8/1/2023 9:39",4.7,16.14,NA,2023-08-01 09:39:00,"Chelsea",2023-08-01,-0.0184503865632486
"40","8/1/2023 9:54",4.56,16.98,NA,2023-08-01 09:54:00,"Chelsea",2023-08-01,-0.749254269106402
"41","8/1/2023 10:09",3.1,18.5,NA,2023-08-01 10:09:00,"Chelsea",2023-08-01,-1.42308339638903
"42","8/1/2023 10:24",4.18,18.04,NA,2023-08-01 10:24:00,"Chelsea",2023-08-01,-2.03201027004184
"43","8/1/2023 10:39",4.37,17.9,NA,2023-08-01 10:39:00,"Chelsea",2023-08-01,-2.56810739169552
"44","8/1/2023 10:54",4.37,19.18,NA,2023-08-01 10:54:00,"Chelsea",2023-08-01,-3.02344726298078
"45","8/1/2023 11:09",3.93,21.86,NA,2023-08-01 11:09:00,"Chelsea",2023-08-01,-3.39010238552833
"46","8/1/2023 11:24",3.77,23.3,NA,2023-08-01 11:24:00,"Chelsea",2023-08-01,-3.66014526096886
