#,"Date Time, GMT-07:00",Temp_F ,Temp_C,Light lum/ft2,Site,Method,Elevation
1,5/19/2023 13:45,65.338,18.52111111,272,Thorndyke,Flip bag,low
2,5/19/2023 14:00,64.652,18.14,320,Thorndyke,Flip bag,low
3,5/19/2023 14:15,63.797,17.665,192,Thorndyke,Flip bag,low
4,5/19/2023 14:30,64.31,17.95,304,Thorndyke,Flip bag,low
5,5/19/2023 14:45,64.139,17.855,240,Thorndyke,Flip bag,low
6,5/19/2023 15:00,63.797,17.665,256,Thorndyke,Flip bag,low
7,5/19/2023 15:15,63.282,17.37888889,232,Thorndyke,Flip bag,low
8,5/19/2023 15:30,62.254,16.80777778,320,Thorndyke,Flip bag,low
9,5/19/2023 15:45,62.425,16.90277778,256,Thorndyke,Flip bag,low
10,5/19/2023 16:00,63.282,17.37888889,272,Thorndyke,Flip bag,low
11,5/19/2023 16:15,63.797,17.665,320,Thorndyke,Flip bag,low
12,5/19/2023 16:30,63.282,17.37888889,224,Thorndyke,Flip bag,low
13,5/19/2023 16:45,62.598,16.99888889,320,Thorndyke,Flip bag,low
14,5/19/2023 17:00,62.425,16.90277778,224,Thorndyke,Flip bag,low
15,5/19/2023 17:15,59.337,15.18722222,216,Thorndyke,Flip bag,low
16,5/19/2023 17:30,58.82,14.9,136,Thorndyke,Flip bag,low
17,5/19/2023 17:45,58.993,14.99611111,144,Thorndyke,Flip bag,low
18,5/19/2023 18:00,58.993,14.99611111,136,Thorndyke,Flip bag,low
19,5/19/2023 18:15,58.647,14.80388889,103,Thorndyke,Flip bag,low
20,5/19/2023 18:30,58.303,14.61277778,108,Thorndyke,Flip bag,low
21,5/19/2023 18:45,58.131,14.51722222,94,Thorndyke,Flip bag,low
22,5/19/2023 19:00,58.131,14.51722222,82,Thorndyke,Flip bag,low
23,5/19/2023 19:15,58.303,14.61277778,57,Thorndyke,Flip bag,low
24,5/19/2023 19:30,58.303,14.61277778,59,Thorndyke,Flip bag,low
25,5/19/2023 19:45,58.131,14.51722222,43,Thorndyke,Flip bag,low
26,5/19/2023 20:00,57.958,14.42111111,23,Thorndyke,Flip bag,low
27,5/19/2023 20:15,57.785,14.325,7,Thorndyke,Flip bag,low
28,5/19/2023 20:30,57.785,14.325,1,Thorndyke,Flip bag,low
29,5/19/2023 20:45,57.785,14.325,0,Thorndyke,Flip bag,low
30,5/19/2023 21:00,58.476,14.70888889,0,Thorndyke,Flip bag,low
31,5/19/2023 21:15,60.024,15.56888889,0,Thorndyke,Flip bag,low
32,5/19/2023 21:30,59.851,15.47277778,0,Thorndyke,Flip bag,low
33,5/19/2023 21:45,59.68,15.37777778,0,Thorndyke,Flip bag,low
34,5/19/2023 22:00,59.68,15.37777778,0,Thorndyke,Flip bag,low
35,5/19/2023 22:15,59.508,15.28222222,0,Thorndyke,Flip bag,low
36,5/19/2023 22:30,59.508,15.28222222,0,Thorndyke,Flip bag,low
37,5/19/2023 22:45,59.337,15.18722222,0,Thorndyke,Flip bag,low
38,5/19/2023 23:00,59.164,15.09111111,0,Thorndyke,Flip bag,low
39,5/19/2023 23:15,59.164,15.09111111,0,Thorndyke,Flip bag,low
40,5/19/2023 23:30,58.82,14.9,0,Thorndyke,Flip bag,low
41,5/19/2023 23:45,58.647,14.80388889,0,Thorndyke,Flip bag,low
42,5/20/2023 0:00,58.476,14.70888889,0,Thorndyke,Flip bag,low
43,5/20/2023 0:15,58.303,14.61277778,0,Thorndyke,Flip bag,low
44,5/20/2023 0:30,58.131,14.51722222,0,Thorndyke,Flip bag,low
45,5/20/2023 0:45,57.958,14.42111111,0,Thorndyke,Flip bag,low
46,5/20/2023 1:00,57.958,14.42111111,0,Thorndyke,Flip bag,low
47,5/20/2023 1:15,57.958,14.42111111,0,Thorndyke,Flip bag,low
48,5/20/2023 1:30,57.614,14.23,0,Thorndyke,Flip bag,low
49,5/20/2023 1:45,57.441,14.13388889,0,Thorndyke,Flip bag,low
50,5/20/2023 2:00,57.096,13.94222222,0,Thorndyke,Flip bag,low
51,5/20/2023 2:15,56.577,13.65388889,0,Thorndyke,Flip bag,low
52,5/20/2023 2:30,56.404,13.55777778,0,Thorndyke,Flip bag,low
53,5/20/2023 2:45,55.884,13.26888889,0,Thorndyke,Flip bag,low
54,5/20/2023 3:00,55.711,13.17277778,0,Thorndyke,Flip bag,low
55,5/20/2023 3:15,55.884,13.26888889,0,Thorndyke,Flip bag,low
56,5/20/2023 3:30,56.404,13.55777778,0,Thorndyke,Flip bag,low
57,5/20/2023 3:45,56.75,13.75,0,Thorndyke,Flip bag,low
