#,"Date Time, GMT-07:00",Temp_F ,Temp_C,Site,Elevation
1,5/18/2023 10:00,73.062,22.81222222,Chelsea Totten,high
2,5/18/2023 10:15,72.545,22.525,Chelsea Totten,high
3,5/18/2023 10:30,72.199,22.33277778,Chelsea Totten,high
4,5/18/2023 10:45,72.028,22.23777778,Chelsea Totten,high
5,5/18/2023 11:00,71.856,22.14222222,Chelsea Totten,high
6,5/18/2023 11:15,72.199,22.33277778,Chelsea Totten,high
7,5/18/2023 11:30,73.234,22.90777778,Chelsea Totten,high
8,5/18/2023 11:45,74.964,23.86888889,Chelsea Totten,high
9,5/18/2023 12:00,77.05,25.02777778,Chelsea Totten,high
10,5/18/2023 12:15,79.326,26.29222222,Chelsea Totten,high
11,5/18/2023 12:30,82.864,28.25777778,Chelsea Totten,high
12,5/18/2023 12:45,77.225,25.125,Chelsea Totten,high
13,5/18/2023 13:00,81.09,27.27222222,Chelsea Totten,high
14,5/18/2023 13:15,82.152,27.86222222,Chelsea Totten,high
15,5/18/2023 13:30,83.043,28.35722222,Chelsea Totten,high
16,5/18/2023 13:45,74.964,23.86888889,Chelsea Totten,high
17,5/18/2023 14:00,66.708,19.28222222,Chelsea Totten,high
18,5/18/2023 14:15,64.139,17.855,Chelsea Totten,high
19,5/18/2023 14:30,62.769,17.09388889,Chelsea Totten,high
20,5/18/2023 14:45,62.083,16.71277778,Chelsea Totten,high
21,5/18/2023 15:00,61.741,16.52277778,Chelsea Totten,high
22,5/18/2023 15:15,61.398,16.33222222,Chelsea Totten,high
23,5/18/2023 15:30,61.227,16.23722222,Chelsea Totten,high
24,5/18/2023 15:45,61.054,16.14111111,Chelsea Totten,high
25,5/18/2023 16:00,60.883,16.04611111,Chelsea Totten,high
26,5/18/2023 16:15,59.508,15.28222222,Chelsea Totten,high
27,5/18/2023 16:30,58.82,14.9,Chelsea Totten,high
28,5/18/2023 16:45,58.647,14.80388889,Chelsea Totten,high
29,5/18/2023 17:00,58.476,14.70888889,Chelsea Totten,high
30,5/18/2023 17:15,58.303,14.61277778,Chelsea Totten,high
31,5/18/2023 17:30,57.958,14.42111111,Chelsea Totten,high
32,5/18/2023 17:45,57.785,14.325,Chelsea Totten,high
33,5/18/2023 18:00,57.614,14.23,Chelsea Totten,high
34,5/18/2023 18:15,57.614,14.23,Chelsea Totten,high
35,5/18/2023 18:30,57.441,14.13388889,Chelsea Totten,high
36,5/18/2023 18:45,57.614,14.23,Chelsea Totten,high
37,5/18/2023 19:00,57.614,14.23,Chelsea Totten,high
38,5/18/2023 19:15,57.441,14.13388889,Chelsea Totten,high
39,5/18/2023 19:30,57.268,14.03777778,Chelsea Totten,high
40,5/18/2023 19:45,57.268,14.03777778,Chelsea Totten,high
41,5/18/2023 20:00,57.096,13.94222222,Chelsea Totten,high
42,5/18/2023 20:15,57.268,14.03777778,Chelsea Totten,high
43,5/18/2023 20:30,57.268,14.03777778,Chelsea Totten,high
44,5/18/2023 20:45,57.268,14.03777778,Chelsea Totten,high
45,5/18/2023 21:00,57.268,14.03777778,Chelsea Totten,high
46,5/18/2023 21:15,57.096,13.94222222,Chelsea Totten,high
47,5/18/2023 21:30,57.096,13.94222222,Chelsea Totten,high
48,5/18/2023 21:45,57.096,13.94222222,Chelsea Totten,high
49,5/18/2023 22:00,57.268,14.03777778,Chelsea Totten,high
50,5/18/2023 22:15,57.958,14.42111111,Chelsea Totten,high
51,5/18/2023 22:30,57.958,14.42111111,Chelsea Totten,high
52,5/18/2023 22:45,57.785,14.325,Chelsea Totten,high
53,5/18/2023 23:00,57.958,14.42111111,Chelsea Totten,high
54,5/18/2023 23:15,58.476,14.70888889,Chelsea Totten,high
55,5/18/2023 23:30,59.68,15.37777778,Chelsea Totten,high
56,5/18/2023 23:45,59.68,15.37777778,Chelsea Totten,high
57,5/19/2023 0:00,59.68,15.37777778,Chelsea Totten,high
58,5/19/2023 0:15,59.68,15.37777778,Chelsea Totten,high
59,5/19/2023 0:30,59.337,15.18722222,Chelsea Totten,high
60,5/19/2023 0:45,58.993,14.99611111,Chelsea Totten,high
61,5/19/2023 1:00,58.993,14.99611111,Chelsea Totten,high
62,5/19/2023 1:15,58.993,14.99611111,Chelsea Totten,high
63,5/19/2023 1:30,58.82,14.9,Chelsea Totten,high
64,5/19/2023 1:45,58.993,14.99611111,Chelsea Totten,high
65,5/19/2023 2:00,58.993,14.99611111,Chelsea Totten,high
66,5/19/2023 2:15,58.993,14.99611111,Chelsea Totten,high
67,5/19/2023 2:30,58.993,14.99611111,Chelsea Totten,high
68,5/19/2023 2:45,58.993,14.99611111,Chelsea Totten,high
69,5/19/2023 3:00,58.993,14.99611111,Chelsea Totten,high
70,5/19/2023 3:15,58.993,14.99611111,Chelsea Totten,high
71,5/19/2023 3:30,58.993,14.99611111,Chelsea Totten,high
72,5/19/2023 3:45,58.993,14.99611111,Chelsea Totten,high
73,5/19/2023 4:00,58.993,14.99611111,Chelsea Totten,high
74,5/19/2023 4:15,58.993,14.99611111,Chelsea Totten,high
75,5/19/2023 4:30,58.993,14.99611111,Chelsea Totten,high
76,5/19/2023 4:45,58.993,14.99611111,Chelsea Totten,high
77,5/19/2023 5:00,57.958,14.42111111,Chelsea Totten,high
78,5/19/2023 5:15,57.785,14.325,Chelsea Totten,high
79,5/19/2023 5:30,57.441,14.13388889,Chelsea Totten,high
80,5/19/2023 5:45,57.614,14.23,Chelsea Totten,high
81,5/19/2023 6:00,57.785,14.325,Chelsea Totten,high
82,5/19/2023 6:15,57.785,14.325,Chelsea Totten,high
83,5/19/2023 6:30,57.958,14.42111111,Chelsea Totten,high
84,5/19/2023 6:45,57.958,14.42111111,Chelsea Totten,high
85,5/19/2023 7:00,57.958,14.42111111,Chelsea Totten,high
86,5/19/2023 7:15,57.958,14.42111111,Chelsea Totten,high
87,5/19/2023 7:30,58.131,14.51722222,Chelsea Totten,high
88,5/19/2023 7:45,58.131,14.51722222,Chelsea Totten,high
89,5/19/2023 8:00,58.303,14.61277778,Chelsea Totten,high
90,5/19/2023 8:15,58.476,14.70888889,Chelsea Totten,high
91,5/19/2023 8:30,58.647,14.80388889,Chelsea Totten,high
92,5/19/2023 8:45,58.647,14.80388889,Chelsea Totten,high
93,5/19/2023 9:00,58.82,14.9,Chelsea Totten,high
94,5/19/2023 9:15,59.164,15.09111111,Chelsea Totten,high
95,5/19/2023 9:30,59.508,15.28222222,Chelsea Totten,high
96,5/19/2023 9:45,59.851,15.47277778,Chelsea Totten,high
97,5/19/2023 10:00,60.539,15.855,Chelsea Totten,high
98,5/19/2023 10:15,61.569,16.42722222,Chelsea Totten,high
99,5/19/2023 10:30,62.598,16.99888889,Chelsea Totten,high
100,5/19/2023 10:45,67.564,19.75777778,Chelsea Totten,high
101,5/19/2023 11:00,73.926,23.29222222,Chelsea Totten,high
102,5/19/2023 11:15,75.312,24.06222222,Chelsea Totten,high
103,5/19/2023 11:30,76.354,24.64111111,Chelsea Totten,high
104,5/19/2023 11:45,78.098,25.61,Chelsea Totten,high
105,5/19/2023 12:00,80.559,26.97722222,Chelsea Totten,high
106,5/19/2023 12:15,83.757,28.75388889,Chelsea Totten,high
107,5/19/2023 12:30,83.579,28.655,Chelsea Totten,high
108,5/19/2023 12:45,88.65,31.47222222,Chelsea Totten,high
109,5/19/2023 13:00,91.425,33.01388889,Chelsea Totten,high
110,5/19/2023 13:15,96.555,35.86388889,Chelsea Totten,high
111,5/19/2023 13:30,96.168,35.64888889,Chelsea Totten,high
112,5/19/2023 13:45,95.783,35.435,Chelsea Totten,high
113,5/19/2023 14:00,99.885,37.71388889,Chelsea Totten,high
114,5/19/2023 14:15,106.835,41.575,Chelsea Totten,high
115,5/19/2023 14:30,80.382,26.87888889,Chelsea Totten,high
116,5/19/2023 14:45,69.107,20.615,Chelsea Totten,high
117,5/19/2023 15:00,65.167,18.42611111,Chelsea Totten,high
118,5/19/2023 15:15,64.481,18.045,Chelsea Totten,high
119,5/19/2023 15:30,63.968,17.76,Chelsea Totten,high
120,5/19/2023 15:45,63.968,17.76,Chelsea Totten,high
121,5/19/2023 16:00,62.769,17.09388889,Chelsea Totten,high
122,5/19/2023 16:15,62.425,16.90277778,Chelsea Totten,high
123,5/19/2023 16:30,61.398,16.33222222,Chelsea Totten,high
124,5/19/2023 16:45,60.539,15.855,Chelsea Totten,high
125,5/19/2023 17:00,58.993,14.99611111,Chelsea Totten,high
126,5/19/2023 17:15,58.993,14.99611111,Chelsea Totten,high
127,5/19/2023 17:30,58.993,14.99611111,Chelsea Totten,high
